#####
thunder01
CPU0_TEMP        | 62.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 85.000    | 88.000    | na        
CPU1_TEMP        | 60.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 85.000    | 88.000    | na        
DIMM_P0_A0       | 37.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P0_A1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P0_B0       | 41.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P0_B1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P0_C0       | 37.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P0_C1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P0_D0       | 41.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P0_D1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_E0       | 38.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_E1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_F0       | 36.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_F1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_G0       | 37.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_G1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_H0       | 36.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
DIMM_P1_H1       | na         | degrees C  | na    | na        | 0.000     | 5.000     | 82.000    | 85.000    | na        
HDD_TEMP_1       | 30.000     | degrees C  | ok    | na        | na        | na        | 55.000    | 60.000    | na        
HDD_TEMP_2       | 34.000     | degrees C  | ok    | na        | na        | na        | 55.000    | 60.000    | na        
FP_TEMP          | 29.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 96.000    | 99.000    | na        
VR_P0_TEMP       | 62.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 102.000   | 107.000   | na        
VR_D_AC_TEMP     | 51.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 100.000   | 105.000   | na        
VR_D_BD_TEMP     | 56.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 100.000   | 105.000   | na        
VR_P1_TEMP       | 55.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 102.000   | 107.000   | na        
VR_D_EG_TEMP     | 48.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 100.000   | 105.000   | na        
VR_D_FH_TEMP     | 49.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 100.000   | 105.000   | na        
P12V             | 11.890     | Volts      | ok    | na        | 10.324    | 10.788    | 13.224    | 13.688    | na        
P5V              | 5.085      | Volts      | ok    | na        | 4.290     | 4.507     | 5.495     | 5.688     | na        
P3V3             | 3.128      | Volts      | ok    | na        | 2.828     | 2.970     | 3.618     | 3.760     | na        
P5V_STBY         | 5.037      | Volts      | ok    | na        | 4.290     | 4.507     | 5.495     | 5.688     | na        
P_2V5_VDD        | 2.517      | Volts      | ok    | na        | 2.154     | 2.251     | 2.747     | 2.856     | na        
P_VBAT           | 2.987      | Volts      | ok    | na        | 2.581     | 2.697     | na        | na        | na        
P_VDD_CORE_P0    | 1.000      | Volts      | ok    | na        | 0.421     | 0.451     | 1.431     | 1.509     | na        
P_VDD_CORE_P1    | 0.990      | Volts      | ok    | na        | 0.421     | 0.451     | 1.431     | 1.509     | na        
P_VDDQ_AC        | 1.225      | Volts      | ok    | na        | 1.029     | 1.078     | 1.323     | 1.372     | na        
P_VDDQ_BD        | 1.225      | Volts      | ok    | na        | 1.029     | 1.078     | 1.323     | 1.372     | na        
P_VDDQ_EG        | 1.225      | Volts      | ok    | na        | 1.029     | 1.078     | 1.323     | 1.372     | na        
P_VDDQ_FH        | 1.225      | Volts      | ok    | na        | 1.029     | 1.078     | 1.323     | 1.372     | na        
P_1V5_VDD_OCT_P0 | 1.499      | Volts      | ok    | na        | 1.284     | 1.352     | 1.646     | 1.705     | na        
P_1V5_VDD_OCT_P1 | 1.499      | Volts      | ok    | na        | 1.284     | 1.352     | 1.646     | 1.705     | na        
P_1V8_PHY        | 1.793      | Volts      | ok    | na        | 1.548     | 1.627     | 1.980     | 2.048     | na        
P_0V9_PHY        | 0.902      | Volts      | ok    | na        | 0.774     | 0.813     | 0.990     | 1.029     | na        
VR_P0_VIN        | 11.625     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_P0_VOUT       | 0.976      | Volts      | ok    | na        | 0.784     | 0.832     | 1.056     | 1.104     | na        
VR_D_AC_P12V     | 11.750     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_AC_P3V3     | 3.296      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_AC_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_D_BD_P12V     | 11.875     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_BD_P3V3     | 3.296      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_BD_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_P1_VIN        | 11.750     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_P1_VOUT       | 0.976      | Volts      | ok    | na        | 0.784     | 0.832     | 1.056     | 1.104     | na        
VR_D_EG_P12V     | 11.750     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_EG_P3V3     | 3.296      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_EG_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_D_FH_P12V     | 11.875     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_FH_P3V3     | 3.296      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_FH_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_P0_IOUT       | 62.000     | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_AC_IOUT     | 2.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_BD_IOUT     | 2.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_P1_IOUT       | 63.000     | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_EG_IOUT     | 2.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_FH_IOUT     | 2.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
BPB_FAN05        | 10100.000  | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN06        | 8000.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN07        | 10200.000  | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN08        | 8000.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN09        | 11000.000  | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN10        | 7900.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN11        | 10100.000  | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN12        | 8000.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN13        | 10100.000  | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN14        | 8100.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
CPU0             | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
CPU1             | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
